Participant,Model,Data_Type,Accuracy,Precision,Recall,F1-Score
2_05_09,LSTM,Emg,0.24739583333333334,0.06120469835069445,0.24739583333333334,0.09813195894224079
2_05_09,CNN,Emg,0.23832923832923833,0.05766979100312433,0.23832923832923833,0.09286785429926582
3_05_09,FFNN,Angles,0.7058823529411765,0.7525055342652032,0.7058823529411765,0.6806843167485315
3_05_09,LSTM,Angles,0.23958333333333334,0.05740017361111111,0.23958333333333334,0.09261204481792717
3_05_09,CNN,Angles,0.5086505190311419,0.543295925473408,0.5086505190311419,0.4983111927895964
3_05_09,FFNN,Raw,0.35051546391752575,0.2507264594893461,0.35051546391752575,0.2917249656210491
3_05_09,LSTM,Raw,0.22569444444444445,0.05093798225308642,0.22569444444444445,0.08311693421466793
3_05_09,CNN,Raw,0.24742268041237114,0.1588528691621475,0.24742268041237114,0.15916558659040733
3_05_09,FFNN,Emg,0.21908127208480566,0.04799660377829665,0.21908127208480566,0.07874225431453884
3_05_09,LSTM,Emg,0.21875,0.0478515625,0.21875,0.07852564102564102
3_05_09,CNN,Emg,0.21908127208480566,0.04816680450091472,0.21908127208480566,0.07897115621661599
1_06_09,FFNN,Angles,0.6265060240963856,0.6723461162323517,0.6265060240963856,0.6394756477167177
1_06_09,LSTM,Angles,0.22767857142857142,0.0518375318877551,0.22767857142857142,0.08444805194805195
1_06_09,CNN,Angles,0.6224899598393574,0.6326448150243331,0.6224899598393574,0.6162445204005651
1_06_09,FFNN,Raw,0.356,0.2787996036092421,0.356,0.30972240976723525
1_06_09,LSTM,Raw,0.20982142857142858,0.0440250318877551,0.20982142857142858,0.0727793885081708
1_06_09,CNN,Raw,0.264,0.10480998236809982,0.264,0.14965208053691276
1_06_09,FFNN,Emg,0.20717131474103587,0.04291995365152935,0.20717131474103587,0.07110830604972848
1_06_09,LSTM,Emg,0.20535714285714285,0.04217155612244898,0.20535714285714285,0.06997354497354498
1_06_09,CNN,Emg,0.20717131474103587,0.04291995365152935,0.20717131474103587,0.07110830604972848
